Year,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",tech industry supports employees with mental health issues?,Age,Gender,Country,Do you know the options for mental health care available under your employer-provided health coverage?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you *work* in?,What country do you <strong>work</strong> in?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,What country do you work in?
2019,True,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,False,0.0,0.0,1.0,40.0,M,Croatia,,,,,,,,,,,,
2019,True,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,True,9.0,7.0,2.0,49.0,M,Other,,,,,,,,,,,,
2019,False,I don't know,No,No,I don't know,I don't know,Very easy,Yes,True,3.0,3.0,2.0,37.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,True,10.0,10.0,1.0,52.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,False,9.0,9.0,2.0,33.0,,Canada,,,,,,,,,,,,
2019,True,Yes,Yes,No,I don't know,I don't know,I don't know,No,False,5.0,2.0,3.0,37.0,M,United States of America,,,,,,,,,,,,
2019,False,I don't know,No,I don't know,Yes,I don't know,Somewhat difficult,Yes,False,8.0,7.0,4.0,53.0,F,United States of America,,,,,,,,,,,,
2019,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,4.0,3.0,2.0,55.0,M,United Kingdom,,,,,,,,,,,,
2019,True,I don't know,Yes,Yes,No,Yes,Somewhat difficult,Maybe,True,4.0,3.0,2.0,30.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,No,No,No,I don't know,Somewhat easy,No,False,3.0,1.0,1.0,35.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,Yes,I don't know,I don't know,Yes,Somewhat difficult,Maybe,False,7.0,7.0,3.0,60.0,M ,United States of America,,,,,,,,,,,,
2019,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,False,5.0,5.0,3.0,34.0,F,United States of America,,,,,,,,,,,,
2019,False,No,No,No,No,I don't know,Difficult,No,True,5.0,2.0,2.0,35.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,No,No,No,I don't know,Somewhat difficult,No,False,2.0,0.0,2.0,34.0,M,United States of America,,,,,,,,,,,,
2019,True,I don't know,No,No,No,Yes,Very easy,Yes,True,7.0,3.0,4.0,28.0,M,United States of America,,,,,,,,,,,,
2019,True,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,False,5.0,2.0,2.0,28.0,F,United States of America,,,,,,,,,,,,
2019,True,I don't know,Yes,No,No,Yes,Somewhat difficult,Maybe,False,7.0,5.0,2.0,36.0,NB,United Kingdom,,,,,,,,,,,,
2019,True,No,No,No,No,No,Somewhat difficult,Yes,False,0.0,0.0,3.0,24.0,M,Ghana,,,,,,,,,,,,
2019,True,Yes,No,No,Yes,I don't know,I don't know,No,False,5.0,4.0,2.0,55.0,M,United States of America,,,,,,,,,,,,
2019,True,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Yes,True,4.0,6.0,3.0,32.0,M,Norway,,,,,,,,,,,,
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,True,10.0,5.0,3.0,33.0,M,United States of America,,,,,,,,,,,,
2019,True,Yes,Yes,No,No,I don't know,I don't know,Maybe,True,7.0,5.0,4.0,30.0,F,Portugal,,,,,,,,,,,,
2019,True,Yes,No,No,I don't know,Yes,Very easy,Yes,False,9.0,9.0,4.0,30.0,M,Portugal,,,,,,,,,,,,
2019,True,Yes,Yes,Yes,No,I don't know,I don't know,Maybe,False,7.0,7.0,3.0,34.0,M,Portugal,,,,,,,,,,,,
2019,True,No,No,No,No,I don't know,Very easy,Yes,False,8.0,7.0,3.0,36.0,F,Portugal,,,,,,,,,,,,
2019,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,8.0,5.0,2.0,30.0,M,Portugal,,,,,,,,,,,,
2019,True,No,,Yes,No,No,I don't know,No,False,9.0,8.0,2.0,29.0,M,Portugal,,,,,,,,,,,,
2019,True,No,No,No,No,No,Somewhat easy,Yes,False,6.0,3.0,3.0,34.0,M,Portugal,,,,,,,,,,,,
2019,True,No,Yes,No,No,No,Very easy,Yes,True,3.0,3.0,3.0,40.0,M,Portugal,,,,,,,,,,,,
2019,True,Not eligible for coverage / NA,,No,No,I don't know,I don't know,No,False,8.0,5.0,3.0,31.0,NB,Portugal,,,,,,,,,,,,
2019,True,I don't know,No,No,I don't know,Yes,I don't know,Maybe,False,9.0,8.0,4.0,27.0,M ,Portugal,,,,,,,,,,,,
2019,False,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,False,6.0,7.0,4.0,47.0,M,United States of America,,,,,,,,,,,,
2019,False,Yes,Yes,No,Yes,Yes,Difficult,Maybe,False,6.0,4.0,3.0,24.0,F,United States of America,,,,,,,,,,,,
2019,True,Yes,Yes,No,No,Yes,Somewhat easy,Yes,False,7.0,3.0,1.0,36.0,M,Portugal,,,,,,,,,,,,
2019,True,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,False,8.0,5.0,2.0,28.0,M,Portugal,,,,,,,,,,,,
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,True,5.0,7.0,2.0,34.0,M,United Kingdom,,,,,,,,,,,,
2019,True,I don't know,No,No,No,I don't know,Somewhat easy,Yes,False,5.0,5.0,2.0,28.0,M,Portugal,,,,,,,,,,,,
2019,True,Yes,Yes,No,No,I don't know,I don't know,No,False,7.0,4.0,2.0,36.0,M,Portugal,,,,,,,,,,,,
2019,True,Yes,Yes,I don't know,No,Yes,Somewhat easy,Yes,False,10.0,8.0,4.0,24.0,M,Portugal,,,,,,,,,,,,
2019,True,Yes,Yes,No,No,Yes,I don't know,Maybe,False,5.0,5.0,4.0,32.0,M,United States of America,,,,,,,,,,,,
2019,False,No,No,Yes,No,Yes,Very easy,Maybe,False,5.0,3.0,2.0,33.0,M,United Kingdom,,,,,,,,,,,,
2019,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,False,6.0,5.0,3.0,39.0,M,United States of America,,,,,,,,,,,,
